[00:00:11] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 2096ms behind, skipping 41 tick(s)
[00:05:11] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 2070ms behind, skipping 41 tick(s)
[01:00:12] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 2200ms behind, skipping 44 tick(s)
[01:10:13] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 3423ms behind, skipping 68 tick(s)
[02:05:14] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 2522ms behind, skipping 50 tick(s)
[02:10:14] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 2075ms behind, skipping 41 tick(s)
[03:15:14] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 2623ms behind, skipping 52 tick(s)
[05:30:15] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 2662ms behind, skipping 53 tick(s)
[05:50:16] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 2825ms behind, skipping 56 tick(s)
[05:50:16] [pool-3-thread-26817/INFO]: [Vault] Checking for Updates ... 
[05:50:16] [pool-3-thread-26817/WARN]: [Vault] Stable Version: 1.5.3 is out! You are still running version: 1.5.0
[05:50:16] [pool-3-thread-26817/WARN]: [Vault] Update at: http://dev.bukkit.org/server-mods/vault
[06:45:16] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 2666ms behind, skipping 53 tick(s)
[07:55:19] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 4922ms behind, skipping 98 tick(s)
[08:00:19] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 2058ms behind, skipping 41 tick(s)
[09:05:20] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 2340ms behind, skipping 46 tick(s)
[09:25:30] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 2076ms behind, skipping 41 tick(s)
[09:50:20] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 2050ms behind, skipping 41 tick(s)
[09:55:20] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 2016ms behind, skipping 40 tick(s)
[09:55:54] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 2211ms behind, skipping 44 tick(s)
[10:00:20] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 2084ms behind, skipping 41 tick(s)
[10:15:20] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 2100ms behind, skipping 42 tick(s)
[10:19:32] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 2827ms behind, skipping 56 tick(s)
[10:20:22] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 2725ms behind, skipping 54 tick(s)
[10:25:22] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 2234ms behind, skipping 44 tick(s)
[10:27:38] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 2102ms behind, skipping 42 tick(s)
[10:30:23] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 2364ms behind, skipping 47 tick(s)
[10:35:24] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 3834ms behind, skipping 76 tick(s)
[10:40:25] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 2666ms behind, skipping 53 tick(s)
[10:45:25] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 2313ms behind, skipping 46 tick(s)
[10:50:26] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 2295ms behind, skipping 45 tick(s)
[10:55:26] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 2069ms behind, skipping 41 tick(s)
[11:00:26] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 2109ms behind, skipping 42 tick(s)
